UserStory,StoryPoint,Estimate,Actual
30,4, 4.75 , 2.31 
35,0.5, 2.83 , 1.33 
38,1, 3.88 , 2.60 
236,7, 5.00 , 1.00 
256,5, 6.80 , 2.66 
259,5, 8.67 , 3.50 
285,9, 10.67 , 4.15 
307,4, 3.36 , 0.75 
308,1, 4.00 , 0.50 
311,0.75, 3.00 , 2.50 
356,1, 4.00 , 0.50 
458,2, 4.38 , 2.93 
477,4, 5.67 , 2.44 
486,1, 3.94 , 3.15 
745,5, 4.40 , 2.00 
1028,2, 4.75 , 4.14 
1029,2, 3.50 , 1.57 
1030,2, 4.00 , 1.71 
1032,2, 3.92 , 2.61 
1055,5, 9.20 , 4.56 
1056,1, 3.33 , 2.21 
1057,1, 5.00 , 3.23 
1073,3, 4.29 , 2.90 
1092,5, 5.46 , 6.30 
1303,1, 5.75 , 2.00 
1338,7, 3.63 , 1.75 
1340,2, 3.88 , 3.63 
1350,1, 1.75 , 0.63 
1360,5, 4.11 , 2.09 
1378,2, 4.00 , 0.75 
1454,1, 3.25 , 2.97 
1456,3, 4.00 , 3.06 
1475,1, 6.25 , 3.25 
1481,3, 4.00 , 1.80 
1518,3, 4.10 , 2.32 
1630,2, 5.86 , 2.21 
1631,1, 6.25 , 2.33 
1675,5, 4.50 , 3.50 
1809,0.5, 2.17 , 0.25 
1877,0.5, 4.00 , 4.94 
1889,7, 13.75 , 4.75 
1890,7, 11.20 , 3.52 
1893,0.5, 2.83 , 3.50 
1894,8, 6.00 , 3.56 
1895,1, 5.67 , 3.92 
1899,2, 5.00 , 2.10 
1925,1, 2.20 , 2.16 
1950,0.5, 1.50 , 2.00 
1960,1, 4.00 , 0.63 
1987,1, 4.67 , 3.25 
1989,0.5, 1.25 , 1.75 
1999,0.5, 1.50 , 1.00 
2022,0.25, 2.50 , 1.33 
2023,2, 12.00 , 4.00 
2055,0.5, 1.00 , 0.38 
2064,0.1, 0.50 , 0.67 
2065,1, 3.00 , 2.50 
2099,1, 3.33 , 2.81 
2285,1, 3.33 , 0.33 
2288,1, 3.42 , 6.33 
2336,2, 2.67 , 1.25 
2353,3, 5.33 , 4.00 
2378,0.5, 2.50 , 2.50 
2384,0.25, 1.75 , 3.00 
2385,1, 3.13 , 2.58 
2393,5, 5.20 , 3.30 
2399,0.5, 4.00 , 2.88 
2400,1, 3.33 , 2.25 
2402,2, 6.25 , 6.64 
2405,3, 5.30 , 2.82 
2407,0.25, 1.75 , 1.75 
2448,1, 6.00 , 3.25 
2450,1, 3.33 , 2.19 
2483,0.5, 2.00 , 2.00 
2485,3, 3.50 , 2.76 
2486,1, 4.00 , 2.40 
2488,5, 5.50 , 2.67 
2493,2, 0.75 , 1.00 
2494,1, 2.83 , 2.00 
2506,0.5, 2.25 , 2.00 
2509,1, 2.67 , 2.67 
2542,5, 3.90 , 1.60 
2552,3, 6.00 , 1.75 
2574,2, 5.33 , 4.70 
2600,2, 5.00 , 2.21 
2610,0.5, 2.33 , 1.33 
2611,1, 4.67 , 2.33 
2661,3, 7.17 , 3.84 
2667,0.5, 2.13 , 4.38 
2672,0.5, 2.17 , 1.24 
2673,0.5, 2.33 , 2.33 
2674,0.5, 2.67 , 1.75 
2675,0.5, 2.67 , 2.00 
2677,0.5, 2.67 , 2.67 
2701,2, 3.00 , 2.89 
2706,2, 3.75 , 2.39 
2723,3, 6.00 , 2.00 
2729,3, 5.20 , 3.23 
2758,1, 3.50 , 6.33 
2767,1, 4.75 , 2.32 
2844,5, 8.00 , 4.56 
2865,1, 3.33 , 0.75 
2883,5, 12.67 , 4.80 
2884,1, 4.00 , 5.00 
2889,3, 4.50 , 3.09 
2892,1, 2.67 , 2.83 
2893,1, 2.50 , 1.94 
2894,2, 4.67 , 4.64 
2895,2, 3.70 , 2.67 
2916,0.5, 3.50 , 3.13 
2937,0.5, 3.00 , 1.38 
2953,1, 2.83 , 3.31 
2956,0.5, 4.00 , 1.25 
3023,2, 1.67 , 1.00 
3036,1, 3.00 , 1.56 
3037,0.1, 1.00 , 1.75 
3038,1, 4.00 , 4.00 
3039,1, 4.00 , 3.50 
3051,1, 6.00 , 0.50 
3052,1, 8.00 , 2.25 
3066,1, 2.00 , 2.00 
3113,1, 8.00 , 3.50 
3297,2, 5.80 , 3.61 
3338,0.5, 3.00 , 3.75 
3346,2, 5.00 , 2.75 
3353,5, 3.14 , 2.11 
3370,5, 4.50 , 4.71 
3441,3, 5.00 , 1.00 
3452,0.5, 3.00 , 1.33 
3544,0.5, 1.75 , 1.88 
